Vehicle_Type,vehicle_count,avg_co2_g_km,median_co2_g_km,avg_engine_size_l,avg_motor_kw,avg_fuel_cons_l100km,avg_elec_cons_kwh100km,avg_elec_range_km,avg_recharge_time_h
Battery Electric (BEV),1195,0.0,0.0,,340.3389121338912,,23.266778242677823,447.1497907949791,10.522008368200837
Conventional/Hybrid,6281,251.16494188823435,246.0,3.1619964973730297,,11.018229581276866,,,
Plug-in Hybrid (PHEV),394,105.13959390862944,94.0,2.3743654822335025,100.10659898477158,8.966497461928935,3.684517766497462,46.21065989847716,3.218781725888325
