Model_Year,Make,Model,Vehicle_Class,Vehicle_Type,Engine_Size_L,Cylinders,Motor_kW,Transmission,Fuel_Type_Primary,Fuel_Type_Secondary,Fuel_Cons_City_L100km,Fuel_Cons_Hwy_L100km,Fuel_Cons_Comb_L100km,Fuel_Cons_Comb_mpg,Elec_Cons_City_kWh100km,Elec_Cons_Hwy_kWh100km,Elec_Cons_Comb_kWh100km,Elec_Range_km,Total_Range_km,Recharge_Time_h,CO2_Emissions_g_km,CO2_Rating,Smog_Rating
,ACURA,ILX,Compact,Conventional/Hybrid,2.0,4.0,,AS5,Z,,9.9,6.7,8.5,33.0,,,,,,,196,,
,ACURA,ILX,Compact,Conventional/Hybrid,2.4,4.0,,M6,Z,,11.2,7.7,9.6,29.0,,,,,,,221,,
,ACURA,ILX HYBRID,Compact,Conventional/Hybrid,1.5,4.0,,AV7,Z,,6.0,5.8,5.9,48.0,,,,,,,136,,
,ACURA,MDX 4WD,Suv - Small,Conventional/Hybrid,3.5,6.0,,AS6,Z,,12.7,9.1,11.1,25.0,,,,,,,255,,
,ACURA,RDX AWD,Suv - Small,Conventional/Hybrid,3.5,6.0,,AS6,Z,,12.1,8.7,10.6,27.0,,,,,,,244,,
,ACURA,RLX,Mid-Size,Conventional/Hybrid,3.5,6.0,,AS6,Z,,11.9,7.7,10.0,28.0,,,,,,,230,,
,ACURA,TL,Mid-Size,Conventional/Hybrid,3.5,6.0,,AS6,Z,,11.8,8.1,10.1,28.0,,,,,,,232,,
,ACURA,TL AWD,Mid-Size,Conventional/Hybrid,3.7,6.0,,AS6,Z,,12.8,9.0,11.1,25.0,,,,,,,255,,
,ACURA,TL AWD,Mid-Size,Conventional/Hybrid,3.7,6.0,,M6,Z,,13.4,9.5,11.6,24.0,,,,,,,267,,
,ACURA,TSX,Compact,Conventional/Hybrid,2.4,4.0,,AS5,Z,,10.6,7.5,9.2,31.0,,,,,,,212,,
,ACURA,TSX,Compact,Conventional/Hybrid,2.4,4.0,,M6,Z,,11.2,8.1,9.8,29.0,,,,,,,225,,
,ACURA,TSX,Compact,Conventional/Hybrid,3.5,6.0,,AS5,Z,,12.1,8.3,10.4,27.0,,,,,,,239,,
,ALFA ROMEO,4C,Two-Seater,Conventional/Hybrid,1.8,4.0,,AM6,Z,,9.7,6.9,8.4,34.0,,,,,,,193,,
,ASTON MARTIN,DB9,Minicompact,Conventional/Hybrid,5.9,12.0,,A6,Z,,18.0,12.6,15.6,18.0,,,,,,,359,,
,ASTON MARTIN,RAPIDE,Subcompact,Conventional/Hybrid,5.9,12.0,,A6,Z,,18.0,12.6,15.6,18.0,,,,,,,359,,
,ASTON MARTIN,V8 VANTAGE,Two-Seater,Conventional/Hybrid,4.7,8.0,,AM7,Z,,17.4,11.3,14.7,19.0,,,,,,,338,,
,ASTON MARTIN,V8 VANTAGE,Two-Seater,Conventional/Hybrid,4.7,8.0,,M6,Z,,18.1,12.2,15.4,18.0,,,,,,,354,,
,ASTON MARTIN,V8 VANTAGE S,Two-Seater,Conventional/Hybrid,4.7,8.0,,AM7,Z,,17.4,11.3,14.7,19.0,,,,,,,338,,
,ASTON MARTIN,V8 VANTAGE S,Two-Seater,Conventional/Hybrid,4.7,8.0,,M6,Z,,18.1,12.2,15.4,18.0,,,,,,,354,,
,ASTON MARTIN,VANQUISH,Minicompact,Conventional/Hybrid,5.9,12.0,,A6,Z,,18.0,12.6,15.6,18.0,,,,,,,359,,
,AUDI,A4,Compact,Conventional/Hybrid,2.0,4.0,,AV8,Z,,9.9,7.4,8.8,32.0,,,,,,,202,,
,AUDI,A4 QUATTRO,Compact,Conventional/Hybrid,2.0,4.0,,AS8,Z,,11.5,8.1,10.0,28.0,,,,,,,230,,
,AUDI,A4 QUATTRO,Compact,Conventional/Hybrid,2.0,4.0,,M6,Z,,10.8,7.5,9.3,30.0,,,,,,,214,,
,AUDI,A5 CABRIOLET QUATTRO,Subcompact,Conventional/Hybrid,2.0,4.0,,AS8,Z,,11.5,8.1,10.0,28.0,,,,,,,230,,
,AUDI,A5 QUATTRO,Subcompact,Conventional/Hybrid,2.0,4.0,,AS8,Z,,11.5,8.1,10.0,28.0,,,,,,,230,,
,AUDI,A5 QUATTRO,Subcompact,Conventional/Hybrid,2.0,4.0,,M6,Z,,10.8,7.5,9.3,30.0,,,,,,,214,,
,AUDI,A6 QUATTRO,Mid-Size,Conventional/Hybrid,2.0,4.0,,AS8,Z,,12.0,8.1,10.2,28.0,,,,,,,235,,
,AUDI,A6 QUATTRO,Mid-Size,Conventional/Hybrid,3.0,6.0,,AS8,Z,,12.8,8.6,10.9,26.0,,,,,,,251,,
,AUDI,A6 QUATTRO TDI (modified),Mid-Size,Conventional/Hybrid,3.0,6.0,,AS8,D,,9.8,6.2,8.1,35.0,,,,,,,217,,
,AUDI,A7 QUATTRO,Mid-Size,Conventional/Hybrid,3.0,6.0,,AS8,Z,,13.3,8.5,11.2,25.0,,,,,,,262,,
,AUDI,A7 QUATTRO TDI (modified),Mid-Size,Conventional/Hybrid,3.0,6.0,,AS8,D,,9.8,6.2,8.1,35.0,,,,,,,217,,
,AUDI,A8,Mid-Size,Conventional/Hybrid,3.0,6.0,,AS8,Z,,13.1,8.8,11.2,25.0,,,,,,,258,,
,AUDI,A8,Mid-Size,Conventional/Hybrid,4.0,8.0,,AS8,Z,,13.7,8.3,11.3,25.0,,,,,,,265,,
,AUDI,A8 TDI (modified),Mid-Size,Conventional/Hybrid,3.0,6.0,,AS8,D,,9.8,6.5,8.4,34.0,,,,,,,224,,
,AUDI,A8L,Full-Size,Conventional/Hybrid,3.0,6.0,,AS8,Z,,13.1,8.8,11.2,25.0,,,,,,,258,,
,AUDI,A8L,Full-Size,Conventional/Hybrid,4.0,8.0,,AS8,Z,,14.7,9.7,12.5,23.0,,,,,,,288,,
,AUDI,A8L,Full-Size,Conventional/Hybrid,6.3,12.0,,AS8,Z,,18.7,11.5,15.5,18.0,,,,,,,363,,
,AUDI,A8L TDI (modified),Full-Size,Conventional/Hybrid,3.0,6.0,,AS8,D,,9.8,6.5,8.4,34.0,,,,,,,224,,
,AUDI,ALLROAD QUATTRO,Station Wagon - Small,Conventional/Hybrid,2.0,4.0,,AS8,Z,,11.8,8.8,10.5,27.0,,,,,,,242,,
,AUDI,Q5,Suv - Small,Conventional/Hybrid,2.0,4.0,,AS8,Z,,12.0,8.5,10.4,27.0,,,,,,,239,,
,AUDI,Q5,Suv - Small,Conventional/Hybrid,3.0,6.0,,AS8,Z,,12.9,9.2,11.2,25.0,,,,,,,258,,
,AUDI,Q5 TDI (modified),Suv - Small,Conventional/Hybrid,3.0,6.0,,AS8,D,,10.2,7.8,9.0,31.0,,,,,,,244,,
,AUDI,Q5 HYBRID,Suv - Small,Conventional/Hybrid,2.0,4.0,,AS8,Z,,9.9,8.3,9.2,31.0,,,,,,,212,,
,AUDI,Q7,Suv - Standard,Conventional/Hybrid,3.0,6.0,,AS8,Z,,15.1,10.9,13.2,21.0,,,,,,,304,,
,AUDI,Q7 TDI (modified),Suv - Standard,Conventional/Hybrid,3.0,6.0,,AS8,D,,12.4,8.7,10.7,26.0,,,,,,,290,,
,AUDI,R8,Two-Seater,Conventional/Hybrid,4.2,8.0,,A7,Z,,17.6,11.0,14.6,19.0,,,,,,,336,,
,AUDI,R8,Two-Seater,Conventional/Hybrid,4.2,8.0,,M6,Z,,21.2,13.4,17.7,16.0,,,,,,,407,,
,AUDI,R8,Two-Seater,Conventional/Hybrid,5.2,10.0,,A7,Z,,18.2,10.6,14.8,19.0,,,,,,,347,,
,AUDI,R8,Two-Seater,Conventional/Hybrid,5.2,10.0,,M6,Z,,21.1,13.8,17.8,16.0,,,,,,,409,,
,AUDI,R8 SPYDER,Two-Seater,Conventional/Hybrid,4.2,8.0,,A7,Z,,17.6,11.0,14.6,19.0,,,,,,,336,,
,AUDI,R8 SPYDER,Two-Seater,Conventional/Hybrid,4.2,8.0,,M6,Z,,21.2,13.4,17.7,16.0,,,,,,,407,,
,AUDI,R8 SPYDER,Two-Seater,Conventional/Hybrid,5.2,10.0,,A7,Z,,18.2,10.6,14.8,19.0,,,,,,,347,,
,AUDI,R8 SPYDER,Two-Seater,Conventional/Hybrid,5.2,10.0,,M6,Z,,21.1,13.8,17.8,16.0,,,,,,,409,,
,AUDI,RS 5,Subcompact,Conventional/Hybrid,4.2,8.0,,A7,Z,,15.3,10.9,13.3,21.0,,,,,,,306,,
,AUDI,RS 5 CABRIOLET,Subcompact,Conventional/Hybrid,4.2,8.0,,A7,Z,,15.2,11.3,13.4,21.0,,,,,,,308,,
,AUDI,RS 7,Mid-Size,Conventional/Hybrid,4.0,8.0,,AS8,Z,,15.5,8.8,12.5,23.0,,,,,,,293,,
,AUDI,S4,Compact,Conventional/Hybrid,3.0,6.0,,A7,Z,,13.2,9.2,11.4,25.0,,,,,,,262,,
,AUDI,S4,Compact,Conventional/Hybrid,3.0,6.0,,M6,Z,,14.6,9.8,12.4,23.0,,,,,,,285,,
,AUDI,S5,Subcompact,Conventional/Hybrid,3.0,6.0,,A7,Z,,13.2,9.2,11.4,25.0,,,,,,,262,,
,AUDI,S5,Subcompact,Conventional/Hybrid,3.0,6.0,,M6,Z,,14.6,9.8,12.4,23.0,,,,,,,285,,
,AUDI,S5 CABRIOLET,Subcompact,Conventional/Hybrid,3.0,6.0,,A7,Z,,13.3,9.5,11.6,24.0,,,,,,,267,,
,AUDI,S6,Mid-Size,Conventional/Hybrid,4.0,8.0,,A7,Z,,14.2,9.7,12.2,23.0,,,,,,,281,,
,AUDI,S7,Mid-Size,Conventional/Hybrid,4.0,8.0,,A7,Z,,14.2,9.7,12.2,23.0,,,,,,,281,,
,AUDI,S8,Mid-Size,Conventional/Hybrid,4.0,8.0,,AS8,Z,,15.8,9.2,12.8,22.0,,,,,,,300,,
,AUDI,SQ5,Suv - Small,Conventional/Hybrid,3.0,6.0,,AS8,Z,,14.9,10.1,12.7,22.0,,,,,,,292,,
,AUDI,TT COUPE QUATTRO,Subcompact,Conventional/Hybrid,2.0,4.0,,A6,Z,,10.4,7.6,9.1,31.0,,,,,,,209,,
,AUDI,TT ROADSTER QUATTRO,Two-Seater,Conventional/Hybrid,2.0,4.0,,A6,Z,,10.4,7.6,9.1,31.0,,,,,,,209,,
,AUDI,TTS COUPE QUATTRO,Subcompact,Conventional/Hybrid,2.0,4.0,,A6,Z,,11.5,8.8,10.3,27.0,,,,,,,237,,
,AUDI,TTS ROADSTER QUATTRO,Two-Seater,Conventional/Hybrid,2.0,4.0,,A6,Z,,11.5,8.8,10.3,27.0,,,,,,,237,,
,BENTLEY,CONTINENTAL GT,Subcompact,Conventional/Hybrid,4.0,8.0,,AS8,Z,,16.3,9.8,13.4,21.0,,,,,,,314,,
,BENTLEY,CONTINENTAL GT,Subcompact,Conventional/Hybrid,6.0,12.0,,AS8,Z,,18.8,11.5,15.5,18.0,,,,,,,356,,
,BENTLEY,CONTINENTAL GTC,Subcompact,Conventional/Hybrid,4.0,8.0,,AS8,Z,,17.4,10.2,14.2,20.0,,,,,,,332,,
,BENTLEY,CONTINENTAL GTC,Subcompact,Conventional/Hybrid,6.0,12.0,,AS8,Z,,20.0,12.2,16.5,17.0,,,,,,,380,,
,BENTLEY,CONTINENTAL GT SPEED CONVERTIBLE,Subcompact,Conventional/Hybrid,6.0,12.0,,AS8,Z,,20.0,12.2,16.5,17.0,,,,,,,380,,
,BENTLEY,FLYING SPUR,Mid-Size,Conventional/Hybrid,6.0,12.0,,AS8,Z,,20.3,11.9,16.5,17.0,,,,,,,388,,
,BENTLEY,MULSANNE,Mid-Size,Conventional/Hybrid,6.8,8.0,,AS8,Z,,22.3,14.9,19.0,15.0,,,,,,,437,,
,BMW,320i,Compact,Conventional/Hybrid,2.0,4.0,,A8,Z,,10.0,6.5,8.4,34.0,,,,,,,193,,
,BMW,320i,Compact,Conventional/Hybrid,2.0,4.0,,M6,Z,,10.4,6.7,8.7,32.0,,,,,,,200,,
,BMW,320i xDRIVE,Compact,Conventional/Hybrid,2.0,4.0,,A8,Z,,10.2,7.0,8.8,32.0,,,,,,,202,,
,BMW,328d xDRIVE,Compact,Conventional/Hybrid,2.0,4.0,,A8,D,,7.6,5.5,6.7,42.0,,,,,,,181,,
,BMW,328d xDRIVE TOURING,Station Wagon - Small,Conventional/Hybrid,2.0,4.0,,A8,D,,7.6,5.5,6.7,42.0,,,,,,,181,,
,BMW,328i,Compact,Conventional/Hybrid,2.0,4.0,,A8,Z,,10.0,6.5,8.4,34.0,,,,,,,193,,
,BMW,328i,Compact,Conventional/Hybrid,2.0,4.0,,M6,Z,,10.4,6.7,8.7,32.0,,,,,,,200,,
,BMW,328i xDRIVE,Compact,Conventional/Hybrid,2.0,4.0,,A8,Z,,10.6,7.2,9.1,31.0,,,,,,,209,,
,BMW,328i xDRIVE GRAN TURISMO,Full-Size,Conventional/Hybrid,2.0,4.0,,A8,Z,,10.6,7.2,9.1,31.0,,,,,,,209,,
,BMW,328i xDRIVE TOURING,Station Wagon - Small,Conventional/Hybrid,2.0,4.0,,A8,Z,,10.6,7.2,9.1,31.0,,,,,,,209,,
,BMW,335i,Compact,Conventional/Hybrid,3.0,6.0,,A8,Z,,11.4,7.3,9.6,29.0,,,,,,,221,,
,BMW,335i,Compact,Conventional/Hybrid,3.0,6.0,,M6,Z,,11.8,7.9,10.0,28.0,,,,,,,230,,
,BMW,335i xDRIVE,Compact,Conventional/Hybrid,3.0,6.0,,A8,Z,,11.7,7.8,9.9,29.0,,,,,,,228,,
,BMW,335i xDRIVE,Compact,Conventional/Hybrid,3.0,6.0,,M6,Z,,11.9,8.3,10.3,27.0,,,,,,,237,,
,BMW,335i xDRIVE GRAN TURISMO,Full-Size,Conventional/Hybrid,3.0,6.0,,A8,Z,,11.9,8.0,10.1,28.0,,,,,,,232,,
,BMW,428i COUPE,Compact,Conventional/Hybrid,2.0,4.0,,A8,Z,,10.0,6.5,8.4,34.0,,,,,,,193,,
,BMW,428i COUPE,Compact,Conventional/Hybrid,2.0,4.0,,M6,Z,,10.4,6.7,8.7,32.0,,,,,,,200,,
,BMW,428i xDRIVE COUPE,Compact,Conventional/Hybrid,2.0,4.0,,A8,Z,,10.6,7.2,9.1,31.0,,,,,,,209,,
,BMW,435i COUPE,Compact,Conventional/Hybrid,3.0,6.0,,A8,Z,,11.4,7.3,9.6,29.0,,,,,,,221,,
,BMW,435i COUPE,Compact,Conventional/Hybrid,3.0,6.0,,M6,Z,,11.8,7.9,10.0,28.0,,,,,,,230,,
,BMW,435i xDRIVE COUPE,Compact,Conventional/Hybrid,3.0,6.0,,A8,Z,,11.7,7.8,9.9,29.0,,,,,,,228,,
,BMW,435i xDRIVE COUPE,Compact,Conventional/Hybrid,3.0,6.0,,M6,Z,,11.9,8.3,10.3,27.0,,,,,,,237,,
,BMW,528i,Mid-Size,Conventional/Hybrid,2.0,4.0,,A8,Z,,10.2,7.0,8.8,32.0,,,,,,,202,,
,BMW,528i xDRIVE,Mid-Size,Conventional/Hybrid,2.0,4.0,,A8,Z,,10.6,7.2,9.1,31.0,,,,,,,209,,
,BMW,535d xDRIVE,Mid-Size,Conventional/Hybrid,3.0,6.0,,A8,D,,9.2,6.4,7.9,36.0,,,,,,,213,,
,BMW,535i xDRIVE,Mid-Size,Conventional/Hybrid,3.0,6.0,,A8,Z,,11.9,8.0,10.1,28.0,,,,,,,232,,
,BMW,535i xDRIVE GRAN TURISMO,Full-Size,Conventional/Hybrid,3.0,6.0,,A8,Z,,12.5,8.6,10.7,26.0,,,,,,,246,,
,BMW,550i xDRIVE,Mid-Size,Conventional/Hybrid,4.4,8.0,,A8,Z,,14.4,9.6,12.2,23.0,,,,,,,281,,
,BMW,550i xDRIVE GRAN TURISMO,Full-Size,Conventional/Hybrid,4.4,8.0,,A8,Z,,15.0,9.8,12.7,22.0,,,,,,,292,,
,BMW,640i xDRIVE GRAN COUPE,Compact,Conventional/Hybrid,3.0,6.0,,A8,Z,,11.9,8.0,10.1,28.0,,,,,,,232,,
,BMW,650i xDRIVE CABRIOLET,Subcompact,Conventional/Hybrid,4.4,8.0,,A8,Z,,15.0,9.8,12.7,22.0,,,,,,,292,,
,BMW,650i xDRIVE COUPE,Compact,Conventional/Hybrid,4.4,8.0,,A8,Z,,14.4,9.6,12.2,23.0,,,,,,,281,,
,BMW,650i xDRIVE GRAN COUPE,Compact,Conventional/Hybrid,4.4,8.0,,A8,Z,,15.0,9.8,12.7,22.0,,,,,,,292,,
,BMW,740Li xDRIVE,Full-Size,Conventional/Hybrid,3.0,6.0,,A8,Z,,12.5,8.6,10.7,26.0,,,,,,,246,,
,BMW,750i xDRIVE,Full-Size,Conventional/Hybrid,4.4,8.0,,A8,Z,,15.0,9.8,12.7,22.0,,,,,,,292,,
,BMW,750Li xDRIVE,Full-Size,Conventional/Hybrid,4.4,8.0,,A8,Z,,15.0,9.8,12.7,22.0,,,,,,,292,,
,BMW,760Li,Full-Size,Conventional/Hybrid,6.0,12.0,,A8,Z,,18.7,11.5,15.5,18.0,,,,,,,356,,
,BMW,ACTIVEHYBRID 3,Compact,Conventional/Hybrid,3.0,6.0,,A8,Z,,9.2,7.1,8.3,34.0,,,,,,,191,,
,BMW,ACTIVEHYBRID 5,Mid-Size,Conventional/Hybrid,3.0,6.0,,A8,Z,,10.5,7.9,9.3,30.0,,,,,,,214,,
,BMW,ACTIVEHYBRID 7L,Full-Size,Conventional/Hybrid,3.0,6.0,,A8,Z,,10.5,7.6,9.2,31.0,,,,,,,212,,
,BMW,ALPINA B7 xDRIVE LWB,Full-Size,Conventional/Hybrid,4.4,8.0,,A8,Z,,15.0,9.8,12.7,22.0,,,,,,,292,,
,BMW,ALPINA B7 xDRIVE SWB,Full-Size,Conventional/Hybrid,4.4,8.0,,A8,Z,,15.0,9.8,12.7,22.0,,,,,,,292,,
,BMW,M5,Mid-Size,Conventional/Hybrid,4.4,8.0,,AM7,Z,,17.3,11.5,14.7,19.0,,,,,,,338,,
,BMW,M5,Mid-Size,Conventional/Hybrid,4.4,8.0,,M6,Z,,16.2,10.9,13.8,20.0,,,,,,,317,,
,BMW,M6,Compact,Conventional/Hybrid,4.4,8.0,,AM7,Z,,17.3,11.5,14.7,19.0,,,,,,,338,,
,BMW,M6,Compact,Conventional/Hybrid,4.4,8.0,,M6,Z,,16.2,10.9,13.8,20.0,,,,,,,317,,
,BMW,M6 CABRIOLET,Subcompact,Conventional/Hybrid,4.4,8.0,,AM7,Z,,17.3,11.5,14.7,19.0,,,,,,,338,,
,BMW,M6 CABRIOLET,Subcompact,Conventional/Hybrid,4.4,8.0,,M6,Z,,16.2,10.9,13.8,20.0,,,,,,,317,,
,BMW,M6 GRAN COUPE,Compact,Conventional/Hybrid,4.4,8.0,,AM7,Z,,17.3,11.5,14.7,19.0,,,,,,,338,,
,BMW,M6 GRAN COUPE,Compact,Conventional/Hybrid,4.4,8.0,,M6,Z,,16.2,10.9,13.8,20.0,,,,,,,317,,
,BMW,X1 xDRIVE28i,Suv - Small,Conventional/Hybrid,2.0,4.0,,A8,Z,,10.6,7.2,9.1,31.0,,,,,,,209,,
,BMW,X1 xDRIVE35i,Suv - Small,Conventional/Hybrid,3.0,6.0,,A6,Z,,13.2,8.9,11.3,25.0,,,,,,,260,,
,BMW,X3 xDRIVE28i,Suv - Small,Conventional/Hybrid,2.0,4.0,,A8,Z,,11.2,8.5,10.0,28.0,,,,,,,230,,
,BMW,X3 xDRIVE35i,Suv - Small,Conventional/Hybrid,3.0,6.0,,A8,Z,,12.6,9.1,11.0,26.0,,,,,,,253,,
,BMW,X5 xDRIVE35i,Suv - Standard,Conventional/Hybrid,3.0,6.0,,A8,Z,,12.9,8.8,11.1,25.0,,,,,,,255,,
,BMW,X5 xDRIVE50i,Suv - Standard,Conventional/Hybrid,4.4,8.0,,A8,Z,,16.3,10.9,13.9,20.0,,,,,,,320,,
,BMW,X6 M,Suv - Standard,Conventional/Hybrid,4.4,8.0,,A6,Z,,18.1,13.7,16.1,18.0,,,,,,,370,,
,BMW,X6 xDRIVE35i,Suv - Standard,Conventional/Hybrid,3.0,6.0,,A8,Z,,13.6,9.8,11.9,24.0,,,,,,,274,,
,BMW,X6 xDRIVE50i,Suv - Standard,Conventional/Hybrid,4.4,8.0,,A8,Z,,16.4,11.3,14.1,20.0,,,,,,,324,,
,BMW,Z4 sDRIVE28i,Two-Seater,Conventional/Hybrid,2.0,4.0,,A8,Z,,10.8,7.1,9.1,31.0,,,,,,,209,,
,BMW,Z4 sDRIVE28i,Two-Seater,Conventional/Hybrid,2.0,4.0,,M6,Z,,10.4,6.7,8.7,32.0,,,,,,,200,,
,BMW,Z4 sDRIVE35i,Two-Seater,Conventional/Hybrid,3.0,6.0,,AM7,Z,,13.7,10.1,12.1,23.0,,,,,,,278,,
,BMW,Z4 sDRIVE35i,Two-Seater,Conventional/Hybrid,3.0,6.0,,M6,Z,,12.7,9.0,11.0,26.0,,,,,,,253,,
,BMW,Z4 sDRIVE35is,Two-Seater,Conventional/Hybrid,3.0,6.0,,AM7,Z,,13.7,10.1,12.1,23.0,,,,,,,278,,
,BUICK,ENCLAVE,Suv - Standard,Conventional/Hybrid,3.6,6.0,,A6,X,,14.3,9.9,12.3,23.0,,,,,,,283,,
,BUICK,ENCLAVE AWD,Suv - Standard,Conventional/Hybrid,3.6,6.0,,A6,X,,14.6,10.2,12.6,22.0,,,,,,,290,,
,BUICK,ENCORE,Suv - Small,Conventional/Hybrid,1.4,4.0,,AS6,X,,9.5,7.2,8.5,33.0,,,,,,,196,,
,BUICK,ENCORE AWD,Suv - Small,Conventional/Hybrid,1.4,4.0,,AS6,X,,10.2,8.0,9.2,31.0,,,,,,,212,,
,BUICK,LACROSSE,Mid-Size,Conventional/Hybrid,3.6,6.0,,AS6,X,,13.7,8.7,11.5,25.0,,,,,,,264,,
,BUICK,LACROSSE,Mid-Size,Conventional/Hybrid,3.6,6.0,,AS6,E,,18.4,12.2,15.6,18.0,,,,,,,250,,
,BUICK,LACROSSE AWD,Mid-Size,Conventional/Hybrid,3.6,6.0,,AS6,X,,13.7,8.9,11.5,25.0,,,,,,,264,,
,BUICK,LACROSSE AWD,Mid-Size,Conventional/Hybrid,3.6,6.0,,AS6,E,,19.4,13.0,16.5,17.0,,,,,,,264,,
,BUICK,LACROSSE eASSIST,Mid-Size,Conventional/Hybrid,2.4,4.0,,AS6,X,,9.6,6.5,8.2,34.0,,,,,,,189,,
,BUICK,REGAL,Mid-Size,Conventional/Hybrid,2.0,4.0,,AS6,Z,,11.5,7.9,9.9,29.0,,,,,,,228,,
,BUICK,REGAL,Mid-Size,Conventional/Hybrid,2.0,4.0,,M6,Z,,11.6,7.5,9.8,29.0,,,,,,,225,,
,BUICK,REGAL AWD,Mid-Size,Conventional/Hybrid,2.0,4.0,,AS6,Z,,12.3,8.7,10.7,26.0,,,,,,,246,,
,BUICK,REGAL eASSIST,Mid-Size,Conventional/Hybrid,2.4,4.0,,AS6,X,,9.6,6.5,8.2,34.0,,,,,,,189,,
,BUICK,VERANO,Compact,Conventional/Hybrid,2.0,4.0,,AS6,Z,,11.5,7.9,9.9,29.0,,,,,,,228,,
,BUICK,VERANO,Compact,Conventional/Hybrid,2.0,4.0,,M6,Z,,11.6,7.5,9.8,29.0,,,,,,,225,,
,BUICK,VERANO,Compact,Conventional/Hybrid,2.4,4.0,,AS6,X,,11.3,7.4,9.5,30.0,,,,,,,218,,
,CADILLAC,ATS,Compact,Conventional/Hybrid,2.0,4.0,,AS6,Z,,11.3,7.5,9.6,29.0,,,,,,,221,,
,CADILLAC,ATS,Compact,Conventional/Hybrid,2.0,4.0,,M6,Z,,12.1,7.9,10.2,28.0,,,,,,,235,,
,CADILLAC,ATS,Compact,Conventional/Hybrid,2.5,4.0,,AS6,X,,10.5,7.2,9.0,31.0,,,,,,,207,,
,CADILLAC,ATS,Compact,Conventional/Hybrid,3.6,6.0,,AS6,X,,12.8,8.5,10.9,26.0,,,,,,,251,,
,CADILLAC,ATS AWD,Compact,Conventional/Hybrid,2.0,4.0,,AS6,Z,,11.8,8.1,10.1,28.0,,,,,,,232,,
,CADILLAC,ATS AWD,Compact,Conventional/Hybrid,3.6,6.0,,AS6,X,,13.1,9.0,11.3,25.0,,,,,,,260,,
,CADILLAC,CTS COUPE,Mid-Size,Conventional/Hybrid,3.6,6.0,,AS6,X,,13.2,8.7,11.2,25.0,,,,,,,258,,
,CADILLAC,CTS COUPE AWD,Mid-Size,Conventional/Hybrid,3.6,6.0,,AS6,X,,13.3,9.0,11.4,25.0,,,,,,,262,,
,CADILLAC,CTS SEDAN,Mid-Size,Conventional/Hybrid,2.0,4.0,,AS6,Z,,11.9,7.9,10.1,28.0,,,,,,,232,,
,CADILLAC,CTS SEDAN,Mid-Size,Conventional/Hybrid,3.6,6.0,,AS8,X,,12.9,8.2,10.8,26.0,,,,,,,248,,
,CADILLAC,CTS SEDAN AWD,Mid-Size,Conventional/Hybrid,2.0,4.0,,AS6,Z,,12.6,8.5,10.8,26.0,,,,,,,248,,
,CADILLAC,CTS SEDAN AWD,Mid-Size,Conventional/Hybrid,3.6,6.0,,AS6,X,,13.1,9.0,11.3,25.0,,,,,,,260,,
,CADILLAC,CTS SEDAN Vsport,Mid-Size,Conventional/Hybrid,3.6,6.0,,AS8,Z,,15.1,9.9,12.8,22.0,,,,,,,294,,
,CADILLAC,CTS SPORT WAGON,Station Wagon - Small,Conventional/Hybrid,3.0,6.0,,AS6,X,,12.7,8.9,11.0,26.0,,,,,,,253,,
,CADILLAC,CTS SPORT WAGON,Station Wagon - Small,Conventional/Hybrid,3.6,6.0,,AS6,X,,13.3,8.9,11.3,25.0,,,,,,,260,,
,CADILLAC,CTS SPORT WAGON AWD,Station Wagon - Small,Conventional/Hybrid,3.0,6.0,,AS6,X,,12.8,9.1,11.1,25.0,,,,,,,255,,
,CADILLAC,CTS SPORT WAGON AWD,Station Wagon - Small,Conventional/Hybrid,3.6,6.0,,AS6,X,,13.3,9.0,11.4,25.0,,,,,,,262,,
,CADILLAC,CTS-V COUPE,Mid-Size,Conventional/Hybrid,6.2,8.0,,AS6,Z,,19.7,12.9,16.6,17.0,,,,,,,382,,
,CADILLAC,CTS-V COUPE,Mid-Size,Conventional/Hybrid,6.2,8.0,,M6,Z,,16.7,12.5,14.8,19.0,,,,,,,340,,
,CADILLAC,CTS-V SEDAN,Mid-Size,Conventional/Hybrid,6.2,8.0,,AS6,Z,,19.7,12.9,16.6,17.0,,,,,,,382,,
,CADILLAC,CTS-V SEDAN,Mid-Size,Conventional/Hybrid,6.2,8.0,,M6,Z,,16.7,12.5,14.8,19.0,,,,,,,340,,
,CADILLAC,CTS-V SPORT WAGON,Station Wagon - Small,Conventional/Hybrid,6.2,8.0,,AS6,Z,,19.7,12.9,16.6,17.0,,,,,,,382,,
,CADILLAC,CTS-V SPORT WAGON,Station Wagon - Small,Conventional/Hybrid,6.2,8.0,,M6,Z,,16.7,12.5,14.8,19.0,,,,,,,340,,
,CADILLAC,ESCALADE AWD,Suv - Standard,Conventional/Hybrid,6.2,8.0,,A6,Z,,17.0,11.8,14.7,19.0,,,,,,,338,,
,CADILLAC,ESCALADE AWD,Suv - Standard,Conventional/Hybrid,6.2,8.0,,A6,E,,23.3,16.1,20.1,14.0,,,,,,,322,,
,CADILLAC,ESCALADE ESV AWD,Suv - Standard,Conventional/Hybrid,6.2,8.0,,A6,Z,,18.8,13.4,16.4,17.0,,,,,,,377,,
,CADILLAC,ESCALADE ESV AWD,Suv - Standard,Conventional/Hybrid,6.2,8.0,,A6,E,,25.7,17.8,22.1,13.0,,,,,,,354,,
